Date,Time,Currency,Impact,Title
2020.01.03,19:30,USD,High,Non-Farm Payrolls
2020.02.07,19:30,USD,High,Non-Farm Payrolls
2020.03.06,19:30,USD,High,Non-Farm Payrolls
2020.04.03,19:30,USD,High,Non-Farm Payrolls
2020.05.01,19:30,USD,High,Non-Farm Payrolls
2020.06.05,19:30,USD,High,Non-Farm Payrolls
2020.07.03,19:30,USD,High,Non-Farm Payrolls
2020.08.07,19:30,USD,High,Non-Farm Payrolls
2020.09.04,19:30,USD,High,Non-Farm Payrolls
2020.10.02,19:30,USD,High,Non-Farm Payrolls
2020.11.06,19:30,USD,High,Non-Farm Payrolls
2020.12.04,19:30,USD,High,Non-Farm Payrolls
2021.01.01,19:30,USD,High,Non-Farm Payrolls
2021.02.05,19:30,USD,High,Non-Farm Payrolls
2021.03.05,19:30,USD,High,Non-Farm Payrolls
2021.04.02,19:30,USD,High,Non-Farm Payrolls
2021.05.07,19:30,USD,High,Non-Farm Payrolls
2021.06.04,19:30,USD,High,Non-Farm Payrolls
2021.07.02,19:30,USD,High,Non-Farm Payrolls
2021.08.06,19:30,USD,High,Non-Farm Payrolls
2021.09.03,19:30,USD,High,Non-Farm Payrolls
2021.10.01,19:30,USD,High,Non-Farm Payrolls
2021.11.05,19:30,USD,High,Non-Farm Payrolls
2021.12.03,19:30,USD,High,Non-Farm Payrolls
2022.01.07,19:30,USD,High,Non-Farm Payrolls
2022.02.04,19:30,USD,High,Non-Farm Payrolls
2022.03.04,19:30,USD,High,Non-Farm Payrolls
2022.04.01,19:30,USD,High,Non-Farm Payrolls
2022.05.06,19:30,USD,High,Non-Farm Payrolls
2022.06.03,19:30,USD,High,Non-Farm Payrolls
2022.07.01,19:30,USD,High,Non-Farm Payrolls
2022.08.05,19:30,USD,High,Non-Farm Payrolls
2022.09.02,19:30,USD,High,Non-Farm Payrolls
2022.10.07,19:30,USD,High,Non-Farm Payrolls
2022.11.04,19:30,USD,High,Non-Farm Payrolls
2022.12.02,19:30,USD,High,Non-Farm Payrolls
2023.01.06,19:30,USD,High,Non-Farm Payrolls
2023.02.03,19:30,USD,High,Non-Farm Payrolls
2023.03.03,19:30,USD,High,Non-Farm Payrolls
2023.04.07,19:30,USD,High,Non-Farm Payrolls
2023.05.05,19:30,USD,High,Non-Farm Payrolls
2023.06.02,19:30,USD,High,Non-Farm Payrolls
2023.07.07,19:30,USD,High,Non-Farm Payrolls
2023.08.04,19:30,USD,High,Non-Farm Payrolls
2023.09.01,19:30,USD,High,Non-Farm Payrolls
2023.10.06,19:30,USD,High,Non-Farm Payrolls
2023.11.03,19:30,USD,High,Non-Farm Payrolls
2023.12.01,19:30,USD,High,Non-Farm Payrolls
2024.01.05,19:30,USD,High,Non-Farm Payrolls
2024.02.02,19:30,USD,High,Non-Farm Payrolls
2024.03.01,19:30,USD,High,Non-Farm Payrolls
2024.04.05,19:30,USD,High,Non-Farm Payrolls
2024.05.03,19:30,USD,High,Non-Farm Payrolls
2024.06.07,19:30,USD,High,Non-Farm Payrolls
2024.07.05,19:30,USD,High,Non-Farm Payrolls
2024.08.02,19:30,USD,High,Non-Farm Payrolls
2024.09.06,19:30,USD,High,Non-Farm Payrolls
2024.10.04,19:30,USD,High,Non-Farm Payrolls
2024.11.01,19:30,USD,High,Non-Farm Payrolls
2024.12.06,19:30,USD,High,Non-Farm Payrolls
2025.01.03,19:30,USD,High,Non-Farm Payrolls
2025.02.07,19:30,USD,High,Non-Farm Payrolls
2025.03.07,19:30,USD,High,Non-Farm Payrolls
2025.04.04,19:30,USD,High,Non-Farm Payrolls
2025.05.02,19:30,USD,High,Non-Farm Payrolls
2025.06.06,19:30,USD,High,Non-Farm Payrolls
2025.07.04,19:30,USD,High,Non-Farm Payrolls
2025.08.01,19:30,USD,High,Non-Farm Payrolls
2025.09.05,19:30,USD,High,Non-Farm Payrolls
2025.10.03,19:30,USD,High,Non-Farm Payrolls
2025.11.07,19:30,USD,High,Non-Farm Payrolls
2025.12.05,19:30,USD,High,Non-Farm Payrolls
2026.01.02,19:30,USD,High,Non-Farm Payrolls
2026.02.06,19:30,USD,High,Non-Farm Payrolls
2026.03.06,19:30,USD,High,Non-Farm Payrolls
2026.04.03,19:30,USD,High,Non-Farm Payrolls
2026.05.01,19:30,USD,High,Non-Farm Payrolls
2026.06.05,19:30,USD,High,Non-Farm Payrolls
2026.07.03,19:30,USD,High,Non-Farm Payrolls
2026.08.07,19:30,USD,High,Non-Farm Payrolls
2026.09.04,19:30,USD,High,Non-Farm Payrolls
2026.10.02,19:30,USD,High,Non-Farm Payrolls
2026.11.06,19:30,USD,High,Non-Farm Payrolls
2026.12.04,19:30,USD,High,Non-Farm Payrolls
